"After watching a documentary, what are the implications of the arguments presented in the documentary?",
"After watching the movie Titanic, compose a reflective essay about the film.",
"Analyze the character of Daisy Buchanan, in The Great Gatsby",
"Analyze the following poem, rhyme scheme and structure.","""The world is too much with us; late and soon,	Getting and spending, we lay waste our powers"""
"Analyze the following quote: ""Education is the most powerful weapon which you can use to change the world.""",
"Analyze the following sentence and explain why it is meaningful: “Life is a journey, not a destination.”",
"Analyze the following statement: ""Abortion should be illegal"".",
"Analyze the implications of the following statement: ""Competition is essential for success in life.""",
"Analyze the line ""After all, we're only human""","After all, we're only human"
"Analyze the moral of the story ""The Boy Who Cried Wolf"".",
"Analyze the song ""Memories"" by Maroon 5.",
"Analyze the style of writing in the first paragraph of the following article.	Output a description of writing style, the techniques used and how the techniques contribute to the meaning (no more than 100 words).","Michael remembers that day as if it were yesterday. The damp, drizzling rain mixed with the occasional gust of wind as the grey clouds hung low, almost touching the horizon."
"Analyze the tone used in the poem ""The Lake Isle of Innisfree"".",
"Analyze these lyrics: ""Just a small town girl, living in a lonely world"".",
"Answer this question: ""What are the advantages of using AI in healthcare?""",
"Arrange the adjectives in the following order:	wet, fresh, green",
"As a web developer, how can you ensure secure authentication?",
"Automate the following task: Every time someone sends an email to the customer service mailbox, send a reply thanking the customer for the message.",
"Based on a given premise, generate a scientific progress report.",The experiment tested the effect of a new drug on cells.
"Based on the Wikipedia article below, create a 100-word summary of the concept.","Flow (psychology)	Flow, also known as the zone, is the mental state of operation in which a person performing an activity is fully immersed in a feeling of energized focus, full involvement, and enjoyment in the process of the activity. In essence, flow is characterized by the complete absorption in what one does, and a resulting loss in one's sense of space and time."
"Based on the following article, summarize the seven benefits of learning a second language.","According to a study by the British Council, the world speaks thousands of languages, but learning a second language holds infinite benefits for both community and individual life. People who are bilingual or multilingual have access to greater opportunities in the workplace, rising to the top of their field. Furthermore, learning a second language can be academically beneficial, making students more creative thinkers, better problem solvers, and more resilient problem identifiers."
"Based on the following information, come up with a set of instructions for using a product.",The product is a Bluetooth speaker.
"Based on the given category, recommend three books.",Category: Science Fiction
"Based on the given input, generate a creative story about a magical adventure.",Julia was a brave 7-year-old girl who had always dreamed of traveling the world.
"Based on the given title, create a summary of the paper.","""The Use of Machine Learning in Healthcare Services"""
"Based on the input provided, come up with a joke.",A scientist and an engineer
"Based on the presentation, summarize the main points.",
"Based on the provided input, write a few lines about Game of Thrones as if describing it to someone who has never seen it.",Game of Thrones
"Brainstorm a list of 5 possible causes of the ""Fog of War"" phenomenon.",
"Categorize the following movie genres:	Action, Rom-com, Thriller",
"Choose one example to explain the concept of ""diversification""",
"Classify the poem ""The Road Not Taken"" by Robert Frost as either a romantic or a modernist poem.",
"Come up with an exemplar for the phrase ""to think outside the box"".",
"Comment on the following statement: ""Teachers should be strict with their students"".",
"Compare and contrast Aristotle's approach to ethics and that of his student, Plato.",
"Compare and contrast the two historical figures, Julius Caesar and Augustus Caesar.",
"Compare and contrast the two phrases: ""strong willed"" and ""persistent"".",
"Compare and contrast the two pieces of software, Microsoft Word and Google Docs.",
"Compare and contrast the two planets, Mars and Earth.",
"Compare and contrast the two programming languages in terms of the following criteria: user base, applications, and syntax.",Java and Python
"Compare and contrast the two religions, Christianity and Islam.",
"Compare and contrast two types of mobile operating systems, such as Android and iOS.",
"Compare the two characters below and discuss how their personalities are different.	Character 1: outgoing, cheerful	Character 2: shy, reserved","Character 1: outgoing, cheerful	Character 2: shy, reserved"
"Compare the two methods of learning, online vs. offline",noinput
"Compose a poem using the following words: Dream, Passionate, Bliss.",
"Compose a poem using the words: blue, light, stars",
"Compose a short poem about summer that includes the phrase ""Summer breeze"".",
