Write a short story in third person narration about a protagonist who has to make an important career decision.,
"Given the following input, construct a creative story.",A magic bow and arrow
Give me a detailed overview of the framework of a web service.,
Write a short story about a day in the life of a software engineer.,
"Indicate how the following characters in the novel reflect the theme of ""the corrupting influence of power"".",Gregoire in Zola's Germinal
Write a 250 word essay about Coral Reef Conservation,
Generate a story with the given keywords.,"princess, dragon, knight"
Compare two types of text processing techniques and explain differences between them.,Rule-Based Text Processing and Deep Learning Based Text Processing
Write a blog post about how AI is transforming the healthcare industry.,
Write a Satire article about the coronavirus pandemic,
Generate a story about a girl who visits an alien planet.,
Tell a story about a girl who travels to the moon.,Noinput
Write a story about a doctor and his patient,
Suggest an effective marketing strategy for a TV show.,
Structures the following instructions into a step by step guide.,Initiate a conversation with someone on LinkedIn for job related advice.
Create a story about a parrot.,
Explain the physics concept of projectile motion.,
Generate a short story about a scientist in a lab.,
Write a short story about a visit to a museum.,
Generate a story about a child's first day of school,
Write a review for a book of your choice.,
"Additionally, give me a entertaining story about a conversation with a stranger on a bus.",
Describe the different stages in the software development lifecycle.,
Explain the process of gaining creditworthiness for a loan,
Write a 200-word essay explaining the importance of sustainable energy.,
Write a 300 word report on the benefits of using AI in the criminal justice system.,
Produce a story about a bear.,
Generate an example of a well-written blog post.,
"Write an original story with a beginning, middle, and end.",
Compose a short story about a robot who is able to learn to do chores on its own.,
Generate a story about fairies who come to help humans.,
Name at least four reasons why communism could be a desirable country.,
Compare the data storage methods for an online shopping website.,
Write a story describing a life-changing decision,
Write a sample essay of 500 words on the topic of artificial intelligence.,
Explain the concept of multi-label classification.,
Identify and explain the components of a modern operating system.,
Write a short story related to technological advancement.,
"Troubleshoot the following error message: ""An unknown error occurred. Error code: 500.""","""An unknown error occurred. Error code: 500."""
Create a list of 5 questions and corresponding answers about a specific topic of your choice.,Chemical Engineering
Write an original children's story around the given character and theme.,Character: Sam the Rabbit	Theme: Fear
Wrte a short story about a character of your choice.,Character: Adele the Fox
